A6,직선 도로
C20,(마주보며) 직진
D69,상시유턴구역에서 유턴
D70,신호에 따른 유턴
C68,우회전《좌측도로》
D69,상시유턴구역에서 유턴
D70,신호에 따른 유턴
C69,유턴(선행)
D71,급 유턴(후행)
C70,동시 유턴(선행)
D72,동시 유턴(후행)
B27,정차 후 출발 사고
C73,정차 후 출발
D75,추월
B28,노면 표시 위반 사고
C74,[녹색 좌회전 신호] 직진(좌회전 노면표시차로)
D76,[녹색 좌회전 신호] 좌회전(직진·좌회전 노면표시차로)
C75,[녹색 직진·좌회전 신호] 후행 직진(좌회전 노면표시차로)
D77,[녹색 직진·좌회전 신호] 선행 좌회전(직진·좌회전 노면표시차로)
C76,직진(직진·좌회전 노면표시차로)
D78,좌회전(직진 노면표시차로)
C77,추월 우회전(직진 노면표시차로)
D79,직진(직진·우회전 노면표시차로)
C78,선행 우회전(직진·우회전 노면표시차로)
D80,후행 직진(우회전 노면표시차로)
B31,긴급자동차 사고
C1,[녹색신호] 직진
D86,[적색신호] 직진(긴급자동차)
C72,[녹색 좌회전 신호] 좌회전
D87,중앙선 왼쪽 통행(긴급자동차)
C84,유턴
D87,중앙선 왼쪽 통행(긴급자동차)
A3,T자형 교차로
B2,동일폭 도로
C13,직진
D38,우회전
C23,왼쪽 도로에서 직진
D21,오른쪽 도로에서 좌회전
C24,오른쪽 도로에서 직진
D22,왼쪽 도로에서 좌회전
C45,오른쪽 도로에서 좌회전
D22,왼쪽 도로에서 좌회전
B3,대로와 소로
C9,대로에서 직진
D23,소로에서 좌회전
D46,소로에서 우회전
C25,소로에서 직진《좌측도로》
D24,대로에서 좌회전《우측도로》
C26,소로에서 직진《우측도로》
D25,대로에서 좌회전《좌측도로》
C46,소로에서 좌회전
D39,대로에서 좌회전
C52,소로에서 직진
D47,대로에서 우회전
C53,대로에서 좌회전
D23,소로에서 좌회전
B4,일시정지 표지가 한쪽방향에만 있음
C12,표지가 없는 도로에서 직진
D26,일시정지 위반 좌회전
D48,일시정지 위반 우회전
C27,일시정지 위반 직진《좌측도로》
D27,표지가 없는 도로에서 좌회전《우측도로》
C28,일시정지 위반 직진《우측도로》
D28,표지가 없는 도로에서 좌회전《좌측도로》
C42,일시정지 위반 직진
D37,표지가 없는 도로에서 우회전
C47,일시정지 위반 좌회전
D40,표지가 없는 도로에서 좌회전
A4,차도와 차도가 아닌 장소
B13,차도가 아닌 장소에서 차도로 진입
C54,차도에서 직진
D49,차도가 아닌 장소에서 중앙선 침범 진입
D50,차도가 아닌 장소에서 우회전 진입
B14,차도에서 차도가 아닌 장소로 진입
C54,차도에서 직진
D51,차도가 아닌 장소로 중앙선 침범 진입
A5,주차장(또는 차도가 아닌 장소)
B15,주차구역과 통로
C55,통로 직진
D52,주차구역에서 직진 출차
D53,주차구역에서 후진 출차
A7,회전교차로
B29,회전차로 1차로형
C79,회전교차로 진입
D81,교차로 내 회전
B30,회전차로 2차로형
C80,회전(회전 2차로)
D82,진로변경(회전 1차로 → 회전 2차로)
C81,회전교차로 진입(1차로 → 회전 2차로)
D83,회전교차로 진입(2차로 → 회전 2차로)
C82,회전(회전 1차로)
D84,회전교차로 대진입
C83,진로변경(회전 1차로 → 회전 2차로)
D85,회전교차로 진입
