A5,직선 도로
C31,[적색신호] 좌회전
D1,[적색신호] 직진
D2,[녹색신호] 직진
D3,[황색신호] 직진
C32,[녹색 좌회전신호] 좌회전
D1,[적색신호] 직진
C33,[황색신호] 좌회전
D1,[적색신호] 직진
B6,상대 차량이 맞은편에서 진입
C19,[마주보며] [적색신호] 직진
D19,[마주보며] [녹색 좌회전신호] 좌회전
D25,"[마주보며] [녹색신호] 좌회전, [적색신호] 충돌"
D28,[마주보며] [적색신호] 좌회전
C20,[마주보며] [녹색 좌회전신호] 좌회전
D20,[마주보며] [적색신호] 직진
C21,[마주보며] [녹색신호] 직진
D21,[마주보며] [녹색신호] 좌회전(비보호 좌회전 아님)
D23,[마주보며] [녹색신호] 좌회전(비보호 좌회전)
C22,[마주보며] [녹색신호] 좌회전(비보호 좌회전 아님)
D22,[마주보며] [녹색신호] 직진
C23,[마주보며] [녹색신호] 좌회전(비보호 좌회전)
D22,[마주보며] [녹색신호] 직진
C24,[마주보며] [황색신호] 직진
D24,"[마주보며] [녹색신호] 좌회전, [황색신호] 충돌"
D27,[마주보며] [황색신호] 좌회전
C25,"[마주보며] [녹색신호] 좌회전, [황색신호] 충돌"
D26,[마주보며] [황색신호] 직진
C26,"[마주보며] [녹색신호] 좌회전, [적색신호] 충돌"
D20,[마주보며] [적색신호] 직진
C27,[마주보며] [황색신호] 좌회전
D26,[마주보며] [황색신호] 직진
C28,[마주보며] [적색신호] 좌회전
D20,[마주보며] [적색신호] 직진
B7,교차로 내 진로변경
C47,우회전
D47,[녹색신호] 직진(교차로 내 진로변경)
C48,[녹색신호] 직진(교차로 내 진로변경)
D49,우회전
B15,추월 사고
C75,중앙선 침범 추월
D75,[녹색 좌회전 신호] 좌회전
C76,[녹색 좌회전 신호] 좌회전
D76,중앙선 침범 추월
B19,유턴 구역
C87,(마주보며) 직진
D87,상시유턴구역에서 유턴
D88,신호에 따른 유턴
C88,상시유턴구역에서 유턴
D89,(마주보며) 직진
D90,우회전《좌측도로》
C89,신호에 따른 유턴
D89,(마주보며) 직진
D90,우회전《좌측도로》
C90,우회전《좌측도로》
D87,상시유턴구역에서 유턴
D88,신호에 따른 유턴
C91,유턴(선행)
D91,급 유턴(후행)
C92,동시 유턴(선행)
D92,동시 유턴(후행)
C93,급 유턴(후행)
D93,유턴(선행)
C94,동시 유턴(후행)
D94,동시 유턴(선행)
B21,상대 차량이 맞은편 방향에서 진입
C76,[녹색 좌회전 신호] 좌회전
D98,맞은편 우회전
C95,맞은편 우회전
D75,[녹색 좌회전 신호] 좌회전
B22,정차 후 출발 사고
C96,정차 후 출발
D99,추월
C97,추월
D100,정차 후 출발
B23,노면 표시 위반 사고
C98,[녹색 직진·좌회전 신호] 후행 직진(좌회전 노면표시차로)
D101,[녹색 직진·좌회전 신호] 선행 좌회전(직진·좌회전 노면표시차로)
C99,[녹색 직진·좌회전 신호] 선행 좌회전(직진·좌회전 노면표시차로)
D102,[녹색 직진·좌회전 신호] 후행 직진(좌회전 노면표시차로)
C100,좌회전(직진 노면표시차로)
D103,직진(직진·좌회전 노면표시차로)
C101,직진(직진·좌회전 노면표시차로)
D104,좌회전(직진 노면표시차로)
C102,추월 우회전(직진 노면표시차로)
D105,직진(직진·우회전 노면표시차로)
C103,직진(직진·우회전 노면표시차로)
D106,추월 우회전(직진 노면표시차로)
A3,T자형 교차로
B2,동일폭 도로
C7,왼쪽에서 직진(동시진입)
D44,오른쪽에서 우회전(동시진입)
C34,왼쪽에서 직진
D34,오른쪽에서 좌회전
C35,오른쪽에서 좌회전
D35,왼쪽에서 직진
D36,왼쪽에서 좌회전
C36,오른쪽에서 직진
D36,왼쪽에서 좌회전
C37,왼쪽에서 좌회전
D34,오른쪽에서 좌회전
D37,오른쪽에서 직진
C44,오른쪽에서 우회전(동시진입)
D4,왼쪽에서 직진(동시진입)
B3,대로와 소로
C10,대로에서 직진(동시진입)
D50,소로에서 우회전(동시진입)
C13,소로에서 직진(동시진입)
D53,대로에서 우회전(동시진입)
C38,대로에서 직진
D38,소로에서 좌회전
C39,소로에서 좌회전
D39,대로에서 직진
D41,대로에서 좌회전
C40,대로에서 좌회전
D38,소로에서 좌회전
D40,소로에서 직진
C41,소로에서 직진
D41,대로에서 좌회전
C50,소로에서 우회전(동시진입)
D13,대로에서 직진(동시진입)
C53,대로에서 우회전(동시진입)
D10,소로에서 직진(동시진입)
B4,일시정지 표지가 한쪽방향에만 있음
C16,표지가 없는 도로에서 직진
D43,일시정지 위반 좌회전
C17,일시정지 위반 직진
D42,표지가 없는 도로에서 좌회전
D57,표지가 없는 도로에서 우회전
C42,표지가 없는 도로에서 좌회전
D16,일시정지 위반 직진
D43,일시정지 위반 좌회전
C43,일시정지 위반 좌회전
D17,표지가 없는 도로에서 직진
D42,표지가 없는 도로에서 좌회전
C56,일시정지 위반 우회전
D17,표지가 없는 도로에서 직진
C57,직진
D56,일시정지 위반 우회전
C58,표지가 없는 도로에서 우회전
D16,일시정지 위반 직진
A4,차도와 차도가 아닌 장소
B11,차도가 아닌 장소에서 차도로 진입
C68,차도에서 직진
D69,차도가 아닌 장소에서 차도로 진입
C69,차도가 아닌 장소에서 차도로 진입
D70,차도에서 직진
B12,차도에서 차도가 아닌 장소로 진입
C68,차도에서 직진
D71,차도에서 차도가 아닌 장소로 진입
C70,차도에서 차도가 아닌 장소로 진입
D70,차도에서 직진
B13,인도에서 차도가 아닌 장소로 진입
C71,인도에서 차도가 아닌 장소로 진행
D71,차도에서 차도가 아닌 장소로 진입
A6,회전교차로
B24,회전차로 1차로형
C104,교차로 내 회전
D107,회전교차로 진입
C105,회전교차로 진입
D108,교차로 내 회전
B25,회전차로 2차로형
C105,회전교차로 진입
D109,진로변경(회전 1차로 → 회전 2차로)
C106,회전(회전 2차로)
D109,진로변경(회전 1차로 → 회전 2차로)
C107,진로변경(회전 1차로 → 회전 2차로)
D107,회전교차로 진입
D110,회전(회전 2차로)
C108,회전교차로 진입(1차로 → 회전 2차로)
D111,회전교차로 진입(2차로 → 회전 2차로)
C109,회전교차로 진입(2차로 → 회전 2차로)
D112,회전교차로 진입(1차로 → 회전 2차로)
C110,회전(회전 1차로)
D113,회전교차로 대진입
C111,회전교차로 대진입
D114,회전(회전 1차로)
